band,bucket,size,dominant_portal,dominant_portal_count
10,b4662e84f4ea4d62,1,P111,1
11,c514b3e93b06ec9a,1,P111,1
12,e04a67e608916684,1,P111,1
13,a832469a96eb79c4,1,P111,1
14,cf70555c2029b3e1,3,P111,1
15,20990f3326f3dff4,1,P111,1
16,a9c4b0f1dc922e1c,1,P111,1
17,475909ecbfddde79,1,P111,1
18,f39365280e1aad28,1,P111,1
19,cb90e402402a3c05,1,P111,1
20,85008245f4d70fd6,1,P111,1
21,8f9e61613d94912f,1,P111,1
22,3f7408afd4148700,1,P111,1
23,bc6185e96dd75068,1,P111,1
24,12c5e5068354536b,1,P111,1
25,a42d43bc196f44fd,1,P111,1
26,dc3cbf8d9f2d5edc,1,P111,1
27,fe6150b9bdc8afa6,1,P111,1
28,0f25f7d4b3e4cfec,1,P111,1
29,a70cbe6e2fc431f1,1,P111,1
30,4702a86bbe49b069,1,P111,1
31,87f5c5b608908117,1,P111,1
32,abe19fcb01b5e4c5,1,P111,1
33,c0c004b11cff67c6,1,P111,1
34,9e3140cb06d56bca,1,P111,1
35,d6d9048686acc79f,1,P111,1
36,d196183d5e818d16,1,P111,1
37,062a123867c8fe23,1,P111,1
38,e478f7a5a3b1a0b9,1,P111,1
39,86aa4e6aa714fb20,1,P111,1
40,a83e3faf23a84619,1,P111,1
41,97e439c6f8e13f78,1,P111,1
42,d1a5fb15deb43962,1,P111,1
43,bd729e08c0acecd6,1,P111,1
44,5ea7e2aeba8f25c7,1,P111,1
45,ee52458143382584,1,P111,1
46,8200835926039c46,1,P111,1
47,fe2552fe6e03c91e,1,P111,1
0,4b28a832ff260a3e,1,P088,1
1,209d152a79229070,3,P088,1
2,b0acda51d5d14078,3,P088,1
3,8c91715e9ecdadca,3,P088,1
4,5ad5fde03bce23ae,1,P088,1
5,67e085e70b7bc02b,3,P088,1
6,3d6e2cb675595d09,1,P088,1
7,55624a196003b19f,3,P088,1
8,3c5e420b581fa13c,3,P088,1
9,80571c5575e13f9e,3,P088,1
10,ac1f10eb8a88ed45,2,P088,1
11,2133aa7f242b5986,2,P088,1
12,d32f939d2b3468af,3,P088,1
13,3ef14f2570232bda,2,P088,1
14,836954c9f68f81bf,1,P088,1
15,c76f7e323ee74a10,1,P088,1
16,cf210150fd4b2d82,2,P088,1
17,8056e82d79bcbc1e,3,P088,1
18,6bd5e0f498a96385,3,P088,1
19,00f58f311aa2d6a9,3,P088,1
20,0ec08b1cd44a21b2,2,P088,1
21,e24303fa8001fcf3,1,P088,1
22,e82fcfa2f014e122,2,P088,1
23,2af9498b14ade7a6,3,P088,1
24,d08d4ed2aad66e66,3,P088,1
25,40cc01369a720d39,3,P088,1
26,e9e07a79fc8800c6,3,P088,1
27,010449e0bc52c7b8,1,P088,1
28,e126f0b739d84b71,3,P088,1
29,e690c9136d57bbb5,3,P088,1
30,b5607283ebd1b02c,3,P088,1
31,0b7fb63d30981c7e,3,P088,1
32,65cb3651af5003b4,3,P088,1
33,46eab69d0579674a,3,P088,1
34,2050d4c332346707,3,P088,1
35,39ab4365f9da2c44,3,P088,1
36,267902dc472a7d8d,1,P088,1
37,4979bfe512b72c2e,3,P088,1
38,1de5089247d1f0da,2,P088,1
39,90e55aaa1a7a4c2a,3,P088,1
40,adcc544454534ba0,2,P088,1
41,ac3472bf63399467,2,P088,1
42,9bba4681fa1f353e,3,P088,1
43,b8563c47386417dd,3,P088,1
44,89983cfbef7a25d0,3,P088,1
45,e01637d8e5852fb9,3,P088,1
46,9e221a9156f85623,3,P088,1
47,35ae9d31cff19adb,1,P088,1
0,9fe6ba1c41218331,2,P044,1
1,043076611be4adde,1,P044,1
2,d8ca765a0dbfb9b2,2,P044,1
3,da365b1da7a3ef8a,2,P044,1
4,b2d5851d52250e50,2,P044,1
5,297fb816dd4a3d92,2,P044,1
6,b661d49b119d11c2,2,P044,1
7,55675a11da8eb20d,1,P044,1
8,41d84714918d79e1,1,P044,1
9,0753c95fa01a5614,2,P044,1
10,5eea6c7b5dfb3714,1,P044,1
11,bc3bbfb1efde60d4,1,P044,1
12,1793bb68b07ef93e,2,P044,1
13,190770124b2761d9,2,P044,1
14,d23246c73e7ee810,1,P044,1
15,f09b39fc0b24abeb,2,P044,1
16,ba18102408c297ac,2,P044,1
17,8d28bc30ffb0551d,1,P044,1
18,daa8fb60c8293370,2,P044,1
19,f6aabfef3c0c746a,1,P044,1
20,ce5b68c7ff161fb9,1,P044,1
21,70f4a0be465af0fe,2,P044,1
22,3db26920419cd00c,2,P044,1
23,f84d60d154f21641,2,P044,1
24,a16557981ae7fc8b,2,P044,1
25,24626cac9aacf9e1,2,P044,1
26,73c7b20f5b2c6cff,2,P044,1
27,dd48c7c70f1e4b7e,2,P044,1
28,c807818a156357e4,1,P044,1
29,91d8666dda283390,1,P044,1
30,00dc717584d6a7f8,2,P044,1
31,6bacb22dd00afedf,1,P044,1
32,07bb65b32bcbd439,2,P044,1
33,e85c1d3e35c99605,2,P044,1
34,b31e1646a1cf54d6,2,P044,1
35,03a6ea1cf97ce911,2,P044,1
36,82f115a67fca620e,1,P044,1
37,21441a490ef5e568,1,P044,1
38,fe979d619f1065f1,1,P044,1
39,e64ded760dbe3977,2,P044,1
40,1d432f87112ba056,2,P044,1
41,4bacf27732d74654,2,P044,1
42,d401df97811be0b4,2,P044,1
43,642f3ec5aad977d6,2,P044,1
44,f4aecb5b980c6420,2,P044,1
45,35f144b08d277066,1,P044,1
46,1bab9ab53c12fa3c,2,P044,1
47,6259a8c76692b7d2,1,P044,1
0,c7867862f421a932,1,P003,1
1,8c1ceef740fe8a40,2,P003,1
2,6fa5e7631d4a8711,1,P003,1
3,3ff9315b595d029e,1,P003,1
4,c9224f2d8445384d,1,P003,1
5,ed360d7b5caef656,1,P003,1
6,2e3b11ad5a119d49,1,P003,1
7,6004b79e1e540783,1,P003,1
8,88c4dde1a52548cb,1,P003,1
9,b79a12a81c544397,1,P003,1
10,6e08928b7fdb9153,1,P003,1
11,ea1b1345b8756fae,1,P003,1
12,2e582d38dd3d72da,1,P003,1
13,dfe59bbbc0910b88,1,P003,1
14,2bff624cde22cc87,1,P003,1
15,8dfaaa6e97be5ad8,1,P003,1
16,40b93b4c2074a7bd,1,P003,1
17,7753bfe5b5873933,1,P003,1
18,27c588fa6567652f,1,P003,1
19,167a1ad744fea533,1,P003,1
20,bbfd649265f1ad84,1,P003,1
21,29ccd1bfa2c67b6a,1,P003,1
22,271949d28280c2d8,1,P003,1
23,9197551058aceb43,1,P003,1
24,8a4f110e9e3756da,1,P003,1
25,3a9dea1ecf58f7b9,1,P003,1
26,6cc0ad798d52a8a7,1,P003,1
27,cd02e58b6c9541bc,1,P003,1
28,cf34e6b55d3fb633,1,P003,1
29,fbaa3ac1c04bf6f6,1,P003,1
30,3b1bc184e5bc61fa,1,P003,1
31,94120ad0763b9c0e,1,P003,1
32,2cdae037c875a017,3,P004,2
33,1b2fe19630404688,1,P003,1
34,a4437d00240b8859,1,P003,1
35,f8cadca9f641c476,1,P003,1
36,f5883caa9c4b3d99,1,P003,1
37,f81aab6de5bc1939,1,P003,1
38,55109a5bf0c7a284,1,P003,1
39,3d2f89aa77fe62bb,1,P003,1
40,6df93826f58eb98b,1,P003,1
41,effc992684202183,1,P003,1
42,3010b153856b702a,1,P003,1
43,7d8b65ad4c81d59f,1,P003,1
44,e34406b46ad2eaa7,1,P003,1
45,3d4a6729ecd005f3,1,P003,1
46,4e8366c02d3fa401,1,P003,1
47,a044b9998c4a5cd1,1,P003,1
0,37c1e8c0c363d6c8,3,P195,1
1,83594a8bcbbf726e,3,P195,1
2,8a20d632ff08ae01,3,P195,1
3,a72141f09d3d46c3,2,P195,1
4,b98e18e8870d2a97,3,P195,1
5,bcc2f0a07185cd74,3,P195,1
6,5768f002a48ea74d,3,P195,1
7,bf6c5905077684dc,3,P195,1
8,cfab4074c9b634ea,3,P195,1
9,5fc77c442e4cc468,3,P195,1
10,0ebf6ae093603c29,3,P195,1
11,072a174bf38f8936,3,P195,1
12,d16fd0ed47d89652,3,P195,1
13,5474cd6b1ed3f4dc,3,P195,1
14,7f2130792627f01d,3,P195,1
15,f89663394dd32cee,3,P195,1
16,c65627c1a531248f,2,P195,1
17,2422cd49c6aa724b,3,P195,1
18,8910c833fc5658ae,3,P195,1
19,c2a9787300988f9c,3,P195,1
20,21d520f2f16c2044,2,P195,1
21,2afd15b0a756cf3d,3,P195,1
22,5ba693f7c91dc64b,3,P195,1
23,3ac77b264e99ae27,2,P195,1
24,6da201363e50dc09,3,P195,1
25,fe0a949b7e0e02d2,3,P195,1
26,73542c776a1f3846,3,P195,1
27,5000ffccc804ac38,3,P195,1
28,3c2056748b24c580,3,P195,1
29,c90dc7a152a7ed2c,3,P195,1
30,fbd8a63c753f3bfa,3,P195,1
31,aa787b3c27cc6699,3,P195,1
32,361812b9b5f9f753,3,P195,1
33,48d40942a017f11b,3,P195,1
34,bc0812bea4d5bd2c,3,P195,1
35,9ddfa7ab960811ff,3,P195,1
36,22c74cdc7fedf07f,3,P195,1
37,71bbea405c80ac08,3,P195,1
38,258beb4a198478d4,3,P195,1
39,6b9c970ac8426488,2,P195,1
40,f072271622862feb,3,P195,1
41,08efdd4f86e73e6c,3,P195,1
42,f82be53327ae531d,3,P195,1
43,960406a8e6024e6d,3,P195,1
44,c0d12f4ff6f65e29,2,P195,1
45,3607c0a8291a8a1c,3,P195,1
46,51f987dc08126d37,3,P195,1
47,046d284f0deddae8,3,P195,1
0,761033f93db25dbc,1,P003,1
1,b1674032751b156f,2,P003,1
2,ce27ba68456f350a,1,P003,1
3,1b5098a7ff70c2ae,1,P003,1
4,a2cb054673bd19d2,1,P003,1
5,14e4c4d2cb4e8662,1,P003,1
6,3da39c2884a83b37,1,P003,1
7,ea84b5359216ec28,1,P003,1
8,dd55cc7825ddb680,1,P003,1
9,07fa74e4508f814b,1,P003,1
10,e020f80bdeaf44db,1,P003,1
11,ab35d9a75f082edb,1,P003,1
12,fc394e367d8de516,1,P003,1
13,ad2a90de41a331a5,1,P003,1
14,ce7d7fdaf3cff626,1,P003,1
15,356e0c56aeee1efe,1,P003,1
16,eb8609a61ea735f1,1,P003,1
17,15c03c4463c1c7a3,1,P003,1
18,d666428487b10b7e,1,P003,1
19,83f1430c94dc3fad,1,P003,1
20,319ab10a36837d73,1,P003,1
21,c1500b7ead3e88c2,1,P003,1
22,dd113762683ec73d,1,P003,1
23,525fd89319c27ce1,1,P003,1
24,e8d02960f12b1918,1,P003,1
25,fd89c7a8e619df9c,1,P003,1
26,c1da8834e62fad36,1,P003,1
27,76ac0f9f5e9ecc57,1,P003,1
28,57ed357bf0dbc983,1,P003,1
29,d3d7b5ea760ad2c9,1,P003,1
30,e373efaafce514c6,9,P004,4
31,d6ad69019c8f19a9,1,P003,1
32,52bfb834960307db,1,P003,1
33,fb9234af2bdd9424,1,P003,1
34,9e21049314c83f9d,1,P003,1
35,f03a1f3ddee2e4fb,1,P003,1
36,56184d67aa4f0121,1,P003,1
37,c56f9642ef50b2f0,1,P003,1
38,cafe51e1ae829992,1,P003,1
39,08cfee5b0c0381eb,1,P003,1
40,f06850e5d0e8ebe9,1,P003,1
41,7f8f97590c9844f8,1,P003,1
42,426c1099c6a65b81,1,P003,1
43,15c4cd943e0940d0,1,P003,1
44,c88d05c9f2b0a07e,1,P003,1
45,d9983fd9d8906128,1,P003,1
46,bb015891536b1787,1,P003,1
47,38039d9b4b55b5cd,1,P003,1
0,60ae2bab30530a5d,1,P001,1
1,30b57aa42e8a5a08,2,P001,1
2,248dc7af30666ffc,1,P001,1
3,8d8ea9711020aef4,1,P001,1
4,bfb2ccf5694d820f,1,P001,1
5,aea8988ac0464785,1,P001,1
6,db6951ed3196e994,1,P001,1
7,a12cb1a96015003b,1,P001,1
8,f66706ea5c3e7c63,1,P001,1
9,b4618a4c41ad3a3e,1,P001,1
10,228692159321c996,1,P001,1
11,e54ad4fd71d95a4a,6,P001,3
12,fca35f23bebabdbe,1,P001,1
13,f04e48b920a020b8,1,P001,1
14,80feacbd2d987188,1,P001,1
15,82ced9110127ed2b,1,P001,1
16,27507289f863f5e2,1,P001,1
17,a53033e8c9e62e2a,125,P001,47
18,a94d7ed8358eaab8,1,P001,1
19,e3cb2e73b09ea20e,1,P001,1
20,465a42329d0d1daa,12,P001,6
21,02742ca7c1ef0b55,1,P001,1
22,f3ff60f025301ccf,1,P001,1
23,94cfeef9203444b5,1,P001,1
24,decaee87695d4aec,1,P001,1
25,0e5c9bbea4c3329a,2,P001,1
26,a2248dbeb4bfa117,1,P001,1
27,d493e1668449a5b0,1,P001,1
28,7a4e4b3393254492,1,P001,1
29,4ff70b600a99a02d,1,P001,1
30,cdb18518c98305e4,100,P005,37
31,bfe6e43a54404270,1,P001,1
32,a10fbe2944816395,1,P001,1
33,2394d8210ee6ef7e,6,P001,3
34,d80d6e5b699e478f,1,P001,1
35,b87dfa2085d1e423,1,P001,1
36,4c6aa39de5a79082,1,P001,1
37,2e69b35398e3ba0c,1,P001,1
38,53c0148c07195437,1,P001,1
39,b4c6203271455a70,1,P001,1
40,43fc19fb6a203a0c,1,P001,1
41,80c09902aaaec875,1,P001,1
